home,away,home_goal,away_goal
Manchester United,Leicester City,2,1
Newcastle United,Tottenham Hotspur,1,2
AFC Bournemouth,Cardiff City,2,0
Fulham,Crystal Palace,0,2
Huddersfield Town,Chelsea,0,3
Watford,Brighton & Hove Albion,2,0
Wolverhampton Wanderers,Everton,2,2
Liverpool,West Ham United,4,0
Southampton,Burnley,0,0
Arsenal,Manchester City,0,2
Cardiff City,Newcastle United,0,0
Everton,Southampton,2,1
Leicester City,Wolverhampton Wanderers,2,0
Tottenham Hotspur,Fulham,3,1
West Ham United,AFC Bournemouth,1,2
Chelsea,Arsenal,3,2
Burnley,Watford,1,3
Manchester City,Huddersfield Town,6,1
Brighton & Hove Albion,Manchester United,3,2
Crystal Palace,Liverpool,0,2
Wolverhampton Wanderers,Manchester City,1,1
AFC Bournemouth,Everton,2,2
Arsenal,West Ham United,3,1
Huddersfield Town,Cardiff City,0,0
Southampton,Leicester City,1,2
Liverpool,Brighton & Hove Albion,1,0
Watford,Crystal Palace,2,1
Fulham,Burnley,4,2
Newcastle United,Chelsea,1,2
Manchester United,Tottenham Hotspur,0,3
Leicester City,Liverpool,1,2
Brighton & Hove Albion,Fulham,2,2
Chelsea,AFC Bournemouth,2,0
Crystal Palace,Southampton,0,2
Everton,Huddersfield Town,1,1
West Ham United,Wolverhampton Wanderers,0,1
Manchester City,Newcastle United,2,1
Cardiff City,Arsenal,2,3
Burnley,Manchester United,0,2
Watford,Tottenham Hotspur,2,1
Tottenham Hotspur,Liverpool,1,2
AFC Bournemouth,Leicester City,4,2
Chelsea,Cardiff City,4,1
Huddersfield Town,Crystal Palace,0,1
Manchester City,Fulham,3,0
Newcastle United,Arsenal,1,2
Watford,Manchester United,1,2
Wolverhampton Wanderers,Burnley,1,0
Everton,West Ham United,1,3
Southampton,Brighton & Hove Albion,2,2
Fulham,Watford,1,1
Burnley,AFC Bournemouth,4,0
Cardiff City,Manchester City,0,5
Crystal Palace,Newcastle United,0,0
Leicester City,Huddersfield Town,3,1
Liverpool,Southampton,3,0
Manchester United,Wolverhampton Wanderers,1,1
Brighton & Hove Albion,Tottenham Hotspur,1,2
West Ham United,Chelsea,0,0
Arsenal,Everton,2,0
West Ham United,Manchester United,3,1
Arsenal,Watford,2,0
Everton,Fulham,3,0
Huddersfield Town,Tottenham Hotspur,0,2
Manchester City,Brighton & Hove Albion,2,0
Newcastle United,Leicester City,0,2
Wolverhampton Wanderers,Southampton,2,0
Chelsea,Liverpool,1,1
Cardiff City,Burnley,1,2
AFC Bournemouth,Crystal Palace,2,1
Brighton & Hove Albion,West Ham United,1,0
Burnley,Huddersfield Town,1,1
Crystal Palace,Wolverhampton Wanderers,0,1
Leicester City,Everton,1,2
Tottenham Hotspur,Cardiff City,1,0
Watford,AFC Bournemouth,0,4
Manchester United,Newcastle United,3,2
Fulham,Arsenal,1,5
Southampton,Chelsea,0,3
Liverpool,Manchester City,0,0
Chelsea,Manchester United,2,2
AFC Bournemouth,Southampton,0,0
Cardiff City,Fulham,4,2
Manchester City,Burnley,5,0
Newcastle United,Brighton & Hove Albion,0,1
West Ham United,Tottenham Hotspur,0,1
Wolverhampton Wanderers,Watford,0,2
Huddersfield Town,Liverpool,0,1
Everton,Crystal Palace,2,0
Arsenal,Leicester City,3,1
Brighton & Hove Albion,Wolverhampton Wanderers,1,0
Fulham,AFC Bournemouth,0,3
Liverpool,Cardiff City,4,1
Southampton,Newcastle United,0,0
Watford,Huddersfield Town,3,0
Leicester City,West Ham United,1,1
Burnley,Chelsea,0,4
Crystal Palace,Arsenal,2,2
Manchester United,Everton,2,1
Tottenham Hotspur,Manchester City,0,1
AFC Bournemouth,Manchester United,1,2
Cardiff City,Leicester City,0,1
Everton,Brighton & Hove Albion,3,1
Newcastle United,Watford,1,0
West Ham United,Burnley,4,2
Arsenal,Liverpool,1,1
Wolverhampton Wanderers,Tottenham Hotspur,2,3
Manchester City,Southampton,6,1
Chelsea,Crystal Palace,3,1
Huddersfield Town,Fulham,1,0
Cardiff City,Brighton & Hove Albion,2,1
Huddersfield Town,West Ham United,1,1
Leicester City,Burnley,0,0
Newcastle United,AFC Bournemouth,2,1
Southampton,Watford,1,1
Crystal Palace,Tottenham Hotspur,0,1
Liverpool,Fulham,2,0
Chelsea,Everton,0,0
Arsenal,Wolverhampton Wanderers,1,1
Manchester City,Manchester United,3,1
Brighton & Hove Albion,Leicester City,1,1
Everton,Cardiff City,1,0
Fulham,Southampton,3,2
Manchester United,Crystal Palace,0,0
Watford,Liverpool,0,3
West Ham United,Manchester City,0,4
Tottenham Hotspur,Chelsea,3,1
AFC Bournemouth,Arsenal,1,2
Wolverhampton Wanderers,Huddersfield Town,0,2
Burnley,Newcastle United,1,2
Cardiff City,Wolverhampton Wanderers,2,1
Crystal Palace,Burnley,2,0
Huddersfield Town,Brighton & Hove Albion,1,2
Leicester City,Watford,2,0
Manchester City,AFC Bournemouth,3,1
Newcastle United,West Ham United,0,3
Southampton,Manchester United,2,2
Chelsea,Fulham,2,0
Arsenal,Tottenham Hotspur,4,2
Liverpool,Everton,1,0
AFC Bournemouth,Huddersfield Town,2,1
Brighton & Hove Albion,Crystal Palace,3,1
West Ham United,Cardiff City,3,1
Watford,Manchester City,1,2
Burnley,Liverpool,1,3
Fulham,Leicester City,1,1
Wolverhampton Wanderers,Chelsea,2,1
Everton,Newcastle United,1,1
Manchester United,Arsenal,2,2
Tottenham Hotspur,Southampton,3,1
AFC Bournemouth,Liverpool,0,4
Arsenal,Huddersfield Town,1,0
Burnley,Brighton & Hove Albion,1,0
Cardiff City,Southampton,1,0
Manchester United,Fulham,4,1
West Ham United,Crystal Palace,3,2
Chelsea,Manchester City,2,0
Leicester City,Tottenham Hotspur,0,2
Newcastle United,Wolverhampton Wanderers,1,2
Everton,Watford,2,2
Manchester City,Everton,3,1
Crystal Palace,Leicester City,1,0
Huddersfield Town,Newcastle United,0,1
Tottenham Hotspur,Burnley,1,0
Watford,Cardiff City,3,2
Wolverhampton Wanderers,AFC Bournemouth,2,0
Fulham,West Ham United,0,2
Brighton & Hove Albion,Chelsea,1,2
Southampton,Arsenal,3,2
Liverpool,Manchester United,3,1
Wolverhampton Wanderers,Liverpool,0,2
Arsenal,Burnley,3,1
AFC Bournemouth,Brighton & Hove Albion,2,0
Chelsea,Leicester City,0,1
Huddersfield Town,Southampton,1,3
Manchester City,Crystal Palace,2,3
Newcastle United,Fulham,0,0
West Ham United,Watford,0,2
Cardiff City,Manchester United,1,5
Everton,Tottenham Hotspur,2,6
Fulham,Wolverhampton Wanderers,1,1
Burnley,Everton,1,5
Crystal Palace,Cardiff City,0,0
Leicester City,Manchester City,2,1
Liverpool,Newcastle United,4,0
Manchester United,Huddersfield Town,3,1
Tottenham Hotspur,AFC Bournemouth,5,0
Brighton & Hove Albion,Arsenal,1,1
Watford,Chelsea,1,2
Southampton,West Ham United,1,2
Brighton & Hove Albion,Everton,1,0
Fulham,Huddersfield Town,1,0
Leicester City,Cardiff City,0,1
Tottenham Hotspur,Wolverhampton Wanderers,1,3
Watford,Newcastle United,1,1
Liverpool,Arsenal,5,1
Crystal Palace,Chelsea,0,1
Burnley,West Ham United,2,0
Southampton,Manchester City,1,3
Manchester United,AFC Bournemouth,4,1
Everton,Leicester City,0,1
Arsenal,Fulham,4,1
Cardiff City,Tottenham Hotspur,0,3
Chelsea,Southampton,0,0
Huddersfield Town,Burnley,1,2
West Ham United,Brighton & Hove Albion,2,2
Wolverhampton Wanderers,Crystal Palace,0,2
AFC Bournemouth,Watford,3,3
Newcastle United,Manchester United,0,2
Manchester City,Liverpool,2,1
West Ham United,Arsenal,1,0
Brighton & Hove Albion,Liverpool,0,1
Burnley,Fulham,2,1
Cardiff City,Huddersfield Town,0,0
Crystal Palace,Watford,1,2
Leicester City,Southampton,1,2
Chelsea,Newcastle United,2,1
Everton,AFC Bournemouth,2,0
Tottenham Hotspur,Manchester United,0,1
Manchester City,Wolverhampton Wanderers,3,0
Wolverhampton Wanderers,Leicester City,4,3
AFC Bournemouth,West Ham United,2,0
Liverpool,Crystal Palace,4,3
Manchester United,Brighton & Hove Albion,2,1
Newcastle United,Cardiff City,3,0
Southampton,Everton,2,1
Watford,Burnley,0,0
Arsenal,Chelsea,2,0
Huddersfield Town,Manchester City,0,3
Fulham,Tottenham Hotspur,1,2
Arsenal,Cardiff City,2,1
Fulham,Brighton & Hove Albion,4,2
Huddersfield Town,Everton,0,1
Wolverhampton Wanderers,West Ham United,3,0
Manchester United,Burnley,2,2
Newcastle United,Manchester City,2,1
AFC Bournemouth,Chelsea,4,0
Southampton,Crystal Palace,1,1
Liverpool,Leicester City,1,1
Tottenham Hotspur,Watford,2,1
Tottenham Hotspur,Newcastle United,1,0
Brighton & Hove Albion,Watford,0,0
Burnley,Southampton,1,1
Chelsea,Huddersfield Town,5,0
Crystal Palace,Fulham,2,0
Everton,Wolverhampton Wanderers,1,3
Cardiff City,AFC Bournemouth,2,0
Leicester City,Manchester United,0,1
Manchester City,Arsenal,3,1
West Ham United,Liverpool,1,1
Everton,Manchester City,0,2
Fulham,Manchester United,0,3
Crystal Palace,West Ham United,1,1
Huddersfield Town,Arsenal,1,2
Liverpool,AFC Bournemouth,3,0
Southampton,Cardiff City,1,2
Watford,Everton,1,0
Brighton & Hove Albion,Burnley,1,3
Tottenham Hotspur,Leicester City,3,1
Manchester City,Chelsea,6,0
Wolverhampton Wanderers,Newcastle United,1,1
Cardiff City,Watford,1,5
West Ham United,Fulham,3,1
Burnley,Tottenham Hotspur,2,1
AFC Bournemouth,Wolverhampton Wanderers,1,1
Newcastle United,Huddersfield Town,2,0
Leicester City,Crystal Palace,1,4
Arsenal,Southampton,2,0
Manchester United,Liverpool,0,0
Cardiff City,Everton,0,3
Huddersfield Town,Wolverhampton Wanderers,1,0
Leicester City,Brighton & Hove Albion,2,1
Newcastle United,Burnley,2,0
Arsenal,AFC Bournemouth,5,1
Southampton,Fulham,2,0
Crystal Palace,Manchester United,1,3
Chelsea,Tottenham Hotspur,2,0
Liverpool,Watford,5,0
Manchester City,West Ham United,1,0
Tottenham Hotspur,Arsenal,1,1
AFC Bournemouth,Manchester City,0,1
Brighton & Hove Albion,Huddersfield Town,1,0
Burnley,Crystal Palace,1,3
Manchester United,Southampton,3,2
Wolverhampton Wanderers,Cardiff City,2,0
West Ham United,Newcastle United,2,0
Watford,Leicester City,2,1
Fulham,Chelsea,1,2
Everton,Liverpool,0,0
Crystal Palace,Brighton & Hove Albion,1,2
Cardiff City,West Ham United,2,0
Huddersfield Town,AFC Bournemouth,0,2
Leicester City,Fulham,3,1
Newcastle United,Everton,3,2
Southampton,Tottenham Hotspur,2,1
Manchester City,Watford,3,1
Liverpool,Burnley,4,2
Chelsea,Wolverhampton Wanderers,1,1
Arsenal,Manchester United,2,0
AFC Bournemouth,Newcastle United,2,2
Burnley,Leicester City,1,2
West Ham United,Huddersfield Town,4,3
Fulham,Liverpool,1,2
Everton,Chelsea,2,0
Fulham,Manchester City,0,2
Brighton & Hove Albion,Southampton,0,1
Burnley,Wolverhampton Wanderers,2,0
Crystal Palace,Huddersfield Town,2,0
Leicester City,AFC Bournemouth,2,0
Manchester United,Watford,2,1
West Ham United,Everton,0,2
Cardiff City,Chelsea,1,2
Liverpool,Tottenham Hotspur,2,1
Arsenal,Newcastle United,2,0
Watford,Fulham,4,1
Wolverhampton Wanderers,Manchester United,2,1
Chelsea,Brighton & Hove Albion,3,0
Tottenham Hotspur,Crystal Palace,2,0
Manchester City,Cardiff City,2,0
Southampton,Liverpool,1,3
AFC Bournemouth,Burnley,1,3
Huddersfield Town,Leicester City,1,4
Newcastle United,Crystal Palace,0,1
Everton,Arsenal,1,0
Chelsea,West Ham United,2,0
Leicester City,Newcastle United,0,1
Tottenham Hotspur,Huddersfield Town,4,0
Brighton & Hove Albion,AFC Bournemouth,0,5
Burnley,Cardiff City,2,0
Fulham,Everton,2,0
Southampton,Wolverhampton Wanderers,3,1
Manchester United,West Ham United,2,1
Crystal Palace,Manchester City,1,3
Liverpool,Chelsea,2,0
Watford,Arsenal,0,1
Brighton & Hove Albion,Cardiff City,0,2
Manchester City,Tottenham Hotspur,1,0
AFC Bournemouth,Fulham,0,1
Huddersfield Town,Watford,1,2
West Ham United,Leicester City,2,2
Wolverhampton Wanderers,Brighton & Hove Albion,0,0
Newcastle United,Southampton,3,1
Everton,Manchester United,4,0
Arsenal,Crystal Palace,2,3
Cardiff City,Liverpool,0,2
Chelsea,Burnley,2,2
Watford,Southampton,1,1
Tottenham Hotspur,Brighton & Hove Albion,1,0
Wolverhampton Wanderers,Arsenal,3,1
Manchester United,Manchester City,0,2
Liverpool,Huddersfield Town,5,0
Tottenham Hotspur,West Ham United,0,1
Crystal Palace,Everton,0,0
Fulham,Cardiff City,1,0
Southampton,AFC Bournemouth,3,3
Watford,Wolverhampton Wanderers,1,2
Brighton & Hove Albion,Newcastle United,1,1
Leicester City,Arsenal,3,0
Burnley,Manchester City,0,1
Manchester United,Chelsea,1,1
Everton,Burnley,2,0
AFC Bournemouth,Tottenham Hotspur,1,0
West Ham United,Southampton,3,0
Wolverhampton Wanderers,Fulham,1,0
Cardiff City,Crystal Palace,2,3
Newcastle United,Liverpool,2,3
Chelsea,Watford,3,0
Huddersfield Town,Manchester United,1,1
Arsenal,Brighton & Hove Albion,1,1
Manchester City,Leicester City,1,0
Brighton & Hove Albion,Manchester City,1,4
Burnley,Arsenal,1,3
Crystal Palace,AFC Bournemouth,5,3
Fulham,Newcastle United,0,4
Leicester City,Chelsea,0,0
Liverpool,Wolverhampton Wanderers,2,0
Manchester United,Cardiff City,0,2
Southampton,Huddersfield Town,1,1
Tottenham Hotspur,Everton,2,2
Watford,West Ham United,1,4
